time (min),raw light scattering data: detector voltage  (V) detector 2,raw light scattering data: detector voltage  (V) detector 3,raw light scattering data: detector voltage  (V) detector 4,raw light scattering data: detector voltage  (V) detector 5,raw light scattering data: detector voltage  (V) detector 6,raw light scattering data: detector voltage  (V) detector 7,raw light scattering data: detector voltage  (V) detector 8,raw light scattering data: detector voltage  (V) detector 9,raw light scattering data: detector voltage  (V) detector 10,raw light scattering data: detector voltage  (V) detector 11,raw light scattering data: detector voltage  (V) detector 12,raw light scattering data: detector voltage  (V) detector 13,raw light scattering data: detector voltage  (V) detector 14,raw light scattering data: detector voltage  (V) detector 15,raw light scattering data: detector voltage  (V) detector 16,raw light scattering data: detector voltage  (V) detector 17,raw light scattering data: detector voltage  (V) detector 18,UV absorbance data: absorbance  (AU) channel 1,UV absorbance data: absorbance  (AU) channel 2,count rate: count rate  (Hz),count rate at corr. func.: count rate  (Hz),Forward Laser Monitor: Forward Laser Monitor  (V),Auto-inject Signal: Auto-inject Signal
50.4108242100,0.1151813670,0.0295912510,0.0151285980,0.0070772720,0.0163719540,0.0122251710,0.0108104600,0.0093894610,0.0092599280,0.0094223390,0.0094385050,0.0093035550,0.0095515770,0.0137193920,0.0178515930,0.0159247780,0.0204292060,0.0011323980,0.0009439570,51760.3553800000,51674.0498700000,0.9321331170, 
50.4193575700,0.1151923510,0.0296074620,0.0151436810,0.0070827300,0.0163916420,0.0122391410,0.0108189860,0.0093994330,0.0092672080,0.0094330490,0.0094467840,0.0093112160,0.0095627620,0.0137305530,0.0178600740,0.0159322220,0.0204290240,0.0011330090,0.0009451350,50724.1674000000,51631.3365700000,0.9321266620, 
50.4278909300,0.1151486840,0.0295552240,0.0150957200,0.0070492910,0.0163278630,0.0121853400,0.0107705450,0.0093575430,0.0092271320,0.0094052020,0.0094224640,0.0092926940,0.0095424810,0.0137117060,0.0178262810,0.0159114510,0.0204217120,0.0011334420,0.0009452140,50754.4162200000,51588.6232700000,0.9321062010, 
50.4364242900,0.1151215620,0.0295274200,0.0150705200,0.0070443120,0.0163147080,0.0121819300,0.0107666010,0.0093524400,0.0092262250,0.0094011820,0.0094236270,0.0092907910,0.0095392300,0.0137137360,0.0178257660,0.0159148880,0.0204298510,0.0011334420,0.0009439930,52203.9259100000,51545.9099700000,0.9320952120, 
50.4449576500,0.1151704050,0.0295729620,0.0151153700,0.0070767990,0.0163739370,0.0122330390,0.0108165310,0.0093950170,0.0092703570,0.0094392060,0.0094621130,0.0093210950,0.0095650800,0.0137475940,0.0178665590,0.0159345590,0.0204433380,0.0011338860,0.0009432170,51188.7520900000,51521.9982100000,0.9321009310, 
50.4534910100,0.1151795310,0.0295686160,0.0150941340,0.0070485400,0.0163310980,0.0121907880,0.0107812610,0.0093605500,0.0092352740,0.0094106490,0.0094297720,0.0092932230,0.0095396390,0.0137124980,0.0178375790,0.0159169220,0.0204223200,0.0011350740,0.0009425060,51799.5308000000,51529.7064900000,0.9321079340, 
50.4620243700,0.1151030880,0.0295081550,0.0150425160,0.0070150890,0.0162434840,0.0121177960,0.0107296120,0.0093156390,0.0091947700,0.0093707570,0.0093885840,0.0092637940,0.0095092660,0.0136682290,0.0178013220,0.0159060930,0.0204073270,0.0011360600,0.0009415190,53861.4651600000,51537.4147700000,0.9321173720, 
50.4705577300,0.1151339520,0.0295554460,0.0151075750,0.0070733660,0.0163267740,0.0121912400,0.0107942210,0.0093744270,0.0092569650,0.0094233160,0.0094400570,0.0093134480,0.0095472630,0.0137172710,0.0178527770,0.0159347020,0.0204398780,0.0011363030,0.0009416440,51899.1622500000,51545.1230500000,0.9321096310, 
50.4790910900,0.1152121620,0.0296023550,0.0151477080,0.0070968920,0.0164033190,0.0122559950,0.0108441440,0.0094213350,0.0092911810,0.0094563970,0.0094744290,0.0093432620,0.0095748090,0.0137639180,0.0178842320,0.0159334060,0.0204486720,0.0011357530,0.0009426830,50792.4853200000,51632.9765400000,0.9320988310, 
50.4876244500,0.1151765820,0.0295860970,0.0151310000,0.0070808530,0.0163627290,0.0122283750,0.0108163720,0.0093979730,0.0092707690,0.0094388460,0.0094526290,0.0093231240,0.0095648150,0.0137474290,0.0178654520,0.0159284700,0.0204364570,0.0011339220,0.0009419140,51932.2969400000,51813.1483100000,0.9321023580, 
50.4961578100,0.1151658760,0.0295808620,0.0151254360,0.0070854290,0.0163648120,0.0122293250,0.0108132150,0.0093945960,0.0092630340,0.0094448960,0.0094577990,0.0093320200,0.0095639200,0.0137466790,0.0178746320,0.0159392870,0.0204427990,0.0011326740,0.0009406940,51758.0122900000,51993.3200700000,0.9321001770, 
50.5046911700,0.1151838080,0.0295987500,0.0151385250,0.0070971280,0.0164019770,0.0122530380,0.0108345070,0.0094134700,0.0092770980,0.0094610640,0.0094754700,0.0093464750,0.0095772470,0.0137674950,0.0178970390,0.0159558600,0.0204546420,0.0011329130,0.0009411730,53296.7202800000,52173.4918400000,0.9321165570, 
